Taxa,Population
PI408089,R.SK
PI408095A,R.SK
PI408095B,R.SK
PI408103,R.SK
PI408105A,R.SK
PI408105B,R.SK
PI408108,R.SK
PI408109A,R.SK
PI408110A,R.SK
PI408114,R.SK
PI408116,R.SK
PI408124B,R.SK
PI408125B,R.SK
PI408126A,R.SK
PI408126B,R.SK
PI408128,R.SK
PI408133,R.SK
PI408135A,R.SK
PI408136,R.SK
PI408137A,R.SK
PI408138D,R.SK
PI408140A,R.SK
PI408140B,R.SK
PI408166A,R.SK
PI408170,R.SK
PI408171,R.SK
PI408173,R.SK
PI408174,R.SK
PI408178,R.SK
PI408179,R.SK
PI408181D,R.SK
PI408189,R.SK
PI408194,R.SK
PI408196A,R.SK
PI408197A,R.SK
PI408199,R.SK
PI408200A,R.SK
PI408203A,R.SK
PI408203B,R.SK
PI408209A,R.SK
PI408209B,R.SK
PI408209C,R.SK
PI408214,R.SK
PI408215A,R.SK
PI408216A,R.SK
PI408216B,R.SK
PI408217A,R.SK
PI408217B,R.SK
PI408217C,R.SK
PI408222A,R.SK
PI408222B,R.SK
PI408224B,R.SK
PI408226A,R.SK
PI408227,R.SK
PI408228B,R.SK
PI408230,R.SK
PI408231,R.SK
PI408232,R.SK
PI408233A,R.SK
PI408233B,R.SK
PI408234A,R.SK
PI408234B,R.SK
PI408248A,R.SK
PI408248B,R.SK
PI408255A,R.SK
PI408256,R.SK
PI408259A,R.SK
PI408260C,R.SK
PI408262A,R.SK
PI408262B,R.SK
PI408262C,R.SK
PI408262D,R.SK
PI408263,R.SK
PI408264,R.SK
PI408265A,R.SK
PI408265B,R.SK
PI408269A,R.SK
PI408269B,R.SK
PI408269D,R.SK
PI408270B,R.SK
PI408271,R.SK
PI408275,R.SK
PI408277,R.SK
PI408284,R.SK
PI408285A,R.SK
PI408285B,R.SK
PI408290,R.SK
PI408294A,R.SK
PI408295B,R.SK
PI408296A,R.SK
PI408298A,R.SK
PI408298B,R.SK
PI408299,R.SK
PI408302,R.SK
PI408306,R.SK
PI408310A,R.SK
PI408312A,R.SK
PI408312B,R.SK
PI408315A,R.SK
PI408315B,R.SK
PI408318A,R.SK
PI408321,R.SK
PI408329,R.SK
PI408332A,R.SK
PI408334,R.SK
PI408335A,R.SK
PI408338,R.SK
PI423725,R.SK
PI423728A,R.SK
PI423729,R.SK
PI423730A,R.SK
PI423733,R.SK
PI423736A,R.SK
PI423737,R.SK
PI423739,R.SK
PI423740,R.SK
PI423744,R.SK
PI423746,R.SK
PI423747B,R.SK
PI423748A,R.SK
PI423748C,R.SK
PI423752A,R.SK
PI423752B,R.SK
PI423753A,R.SK
PI423756B,R.SK
PI423757,R.SK
PI423763,R.SK
PI423765,R.SK
PI423766,R.SK
PI423769A,R.SK
PI423769B,R.SK
PI423770,R.SK
PI423771,R.SK
PI423776,R.SK
PI423777,R.SK
PI423778,R.SK
PI423787,R.SK
PI423791,R.SK
PI423792,R.SK
PI423795,R.SK
PI423797,R.SK
PI423798B,R.SK
PI423799A,R.SK
PI423800,R.SK
PI423809,R.SK
PI423811,R.SK
PI423812,R.SK
PI423814B,R.SK
PI423815,R.SK
PI423816,R.SK
PI423818,R.SK
PI423830B,R.SK
PI423833B,R.SK
PI423836,R.SK
PI423838,R.SK
PI423839,R.SK
PI423841,R.SK
PI423846,R.SK
PI423851,R.SK
PI423863A,R.SK
PI423863B,R.SK
PI424024,R.SK
PI424078,R.SK
PI424134,R.SK
PI424140,R.SK
PI424149,R.SK
PI424150,R.SK
PI424151,R.SK
PI424152,R.SK
PI424153,R.SK
PI424154A,R.SK
PI424155A,R.SK
PI424155B,R.SK
PI424158,R.SK
PI424159B,R.SK
PI424160,R.SK
PI424162,R.SK
PI424165,R.SK
PI424167,R.SK
PI424168A,R.SK
PI424168C,R.SK
PI424171A,R.SK
PI424172A,R.SK
PI424177,R.SK
PI424179A,R.SK
PI424180,R.SK
PI424184,R.SK
PI424188B,R.SK
PI424189,R.SK
PI424211,R.SK
PI424214B,R.SK
PI424217A,R.SK
PI424217B,R.SK
PI424220A,R.SK
PI424222A,R.SK
PI424225,R.SK
PI424227A,R.SK
PI424229B,R.SK
PI424230,R.SK
PI424231,R.SK
PI424232A,R.SK
PI424232B,R.SK
PI424233,R.SK
PI424234A,R.SK
PI424234B,R.SK
PI424234C,R.SK
PI424235,R.SK
PI424236,R.SK
PI424238,R.SK
PI424241,R.SK
PI424242,R.SK
PI424244,R.SK
PI424245,R.SK
PI424247A,R.SK
PI424247B,R.SK
PI424249C,R.SK
PI424253,R.SK
PI424254,R.SK
PI424255A,R.SK
PI424255B,R.SK
PI424256,R.SK
PI424257A,R.SK
PI424257B,R.SK
PI424258,R.SK
PI424262,R.SK
PI424264,R.SK
PI424265,R.SK
PI424267,R.SK
PI424268,R.SK
PI424269A,R.SK
PI424270A,R.SK
PI424270C,R.SK
PI424272A,R.SK
PI424273B,R.SK
PI424274A,R.SK
PI424274B,R.SK
PI424276,R.SK
PI424280,R.SK
PI424281A,R.SK
PI424281B,R.SK
PI424282,R.SK
PI424283,R.SK
PI424285D,R.SK
PI424286,R.SK
PI424287,R.SK
PI424288,R.SK
PI424289,R.SK
PI424291,R.SK
PI424293,R.SK
PI424294A,R.SK
PI424294B,R.SK
PI424296A,R.SK
PI424296B,R.SK
PI424299A,R.SK
PI424299B,R.SK
PI424299C,R.SK
PI424301,R.SK
PI424307,R.SK
PI424310,R.SK
PI424311,R.SK
PI424312,R.SK
PI424313,R.SK
PI424314,R.SK
PI424315,R.SK
PI424317,R.SK
PI424318,R.SK
PI424319,R.SK
PI424326,R.SK
PI424327,R.SK
PI424328,R.SK
PI424329,R.SK
PI424330,R.SK
PI424336,R.SK
PI424343,R.SK
PI424344,R.SK
PI424346,R.SK
PI424347A,R.SK
PI424347B,R.SK
PI424348A,R.SK
PI424348B,R.SK
PI424349A,R.SK
PI424354,R.SK
PI424356,R.SK
PI424357B,R.SK
PI424358,R.SK
PI424359,R.SK
PI424364B,R.SK
PI424366,R.SK
PI424370A,R.SK
PI424370B,R.SK
PI424372,R.SK
PI424373,R.SK
PI424379,R.SK
PI424380,R.SK
PI424381,R.SK
PI424382,R.SK
PI424383,R.SK
PI424384,R.SK
PI424386A,R.SK
PI424386B,R.SK
PI424387,R.SK
PI424388,R.SK
PI424395,R.SK
PI424396,R.SK
PI424397,R.SK
PI424399,R.SK
PI424401,R.SK
PI424402A,R.SK
PI424403,R.SK
PI424405A,R.SK
PI424405C,R.SK
PI424411,R.SK
PI424412,R.SK
PI424424,R.SK
PI424425,R.SK
PI424426,R.SK
PI424427,R.SK
PI424428,R.SK
PI424431,R.SK
PI424432,R.SK
PI424436,R.SK
PI424443,R.SK
PI424444B,R.SK
PI424444C,R.SK
PI424449,R.SK
PI424452,R.SK
PI424459,R.SK
PI424462B,R.SK
PI424462C,R.SK
PI424465,R.SK
PI424466,R.SK
PI424467,R.SK
PI424468,R.SK
PI424469,R.SK
PI424470,R.SK
PI424471,R.SK
PI424472A,R.SK
PI424472B,R.SK
PI424476,R.SK
PI424481A,R.SK
PI424483,R.SK
PI424484A,R.SK
PI424484B,R.SK
PI424485,R.SK
PI424486,R.SK
PI424487A,R.SK
PI424487B,R.SK
PI424488A,R.SK
PI424488B,R.SK
PI424490,R.SK
PI424491A,R.SK
PI424492,R.SK
PI424494,R.SK
PI424495,R.SK
PI424497,R.SK
PI424500,R.SK
PI424505,R.SK
PI424506,R.SK
PI424511,R.SK
PI424512,R.SK
PI424513,R.SK
PI424516,R.SK
PI424521A,R.SK
PI424522,R.SK
PI424524,R.SK
PI424528,R.SK
PI424537,R.SK
PI424538,R.SK
PI424539,R.SK
PI424540,R.SK
PI424541,R.SK
PI424545,R.SK
PI424546A,R.SK
PI424546B,R.SK
PI424548,R.SK
PI424550,R.SK
PI424552,R.SK
PI424554,R.SK
PI424556,R.SK
PI424558A,R.SK
PI424563,R.SK
PI424565,R.SK
PI424566,R.SK
PI424567,R.SK
PI424568,R.SK
PI424569A,R.SK
PI424569B,R.SK
PI424570,R.SK
PI424571,R.SK
PI424572,R.SK
PI424573,R.SK
PI424579,R.SK
PI424580,R.SK
PI424584,R.SK
PI424587,R.SK
PI424590A,R.SK
PI424590B,R.SK
PI424597,R.SK
PI424600,R.SK
PI424605A,R.SK
PI424608A,R.SK
PI424608B,R.SK
PI424610,R.SK
PI424611A,R.SK
PI424611B,R.SK
PI424612,R.SK
PI424613,R.SK
PI424614,R.SK
FC31918,OH.SK
PI65342,OH.SK
PI80479,OH.US
PI80831,OH.SK
PI81766,OH.GRIN
PI82184S,OH.SK
PI82210,OH.SK
PI82286,OH.SK
PI82307,OH.SK
PI82554,OH.SK
PI82581,OH.SK
PI83874,OH.SK
PI83889,OH.SK
PI83923,OH.SK
PI85272,OH.SK
PI87013,OH.SK
PI87561,OH.SK
PI87575,OH.SK
PI88292,OH.GRIN
PI88788,OH.GRIN
PI88816S,OH.SK
PI90220,OH.SK
PI90241,OH.SK
PI90563,OH.SK
PI91073,OH.SK
PI91164,OH.GRIN
PI91679,OH.SK
PI91731-1,OH.GRIN
PI92743,OH.SK
PI95887,OH.SK
PI96093,OH.SK
PI96550,OH.SK
PI105579,OH.SK
PI157402,OH.SK
PI157421,OH.GRIN
PI157428,OH.SK
PI157438,OH.SK
PI157441,OH.SK
PI157445,OH.SK
PI157447,OH.SK
PI157449,OH.SK
PI157458,OH.SK
PI157460,OH.SK
PI157462,OH.SK
PI157470,OH.SK
PI157471,OH.SK
PI157472,OH.SK
PI157477,OH.SK
PI165583,OH.GRIN
PI175183,OH.GRIN
PI175186,OH.GRIN
PI175187,OH.GRIN
PI189939,OH.GRIN
PI192871,OH.GRIN
PI196167,OH.SK
PI196168,OH.SK
PI196171,OH.SK
PI196172,OH.SK
PI196175,OH.SK
PI200472,OH.SK
PI200524,OH.GRIN
PI215688,OH.GRIN
PI232988,OH.GRIN
PI232989,OH.GRIN
PI266807C,OH.GRIN
PI297543,OH.GRIN
PI323568,OH.GRIN
PI323573,OH.GRIN
PI323575,OH.GRIN
PI323577,OH.GRIN
PI339866,OH.SK
PI339980,OH.SK
PI339982,OH.SK
PI340032,OH.SK
PI342002,OH.GRIN
PI358321A,OH.GRIN
PI361062A,OH.US
PI391585,OH.SK
PI398234,OH.SK
PI398263,OH.GRIN
PI398295,OH.SK
PI398323,OH.SK
PI398330,OH.GRIN
PI398334,OH.SK
PI398358,OH.SK
PI398413,OH.SK
PI398534,OH.SK
PI398699,OH.SK
PI398722,OH.SK
PI398725,OH.SK
PI398743,OH.SK
PI398779,OH.GRIN
PI398786,OH.SK
PI398795,OH.GRIN
PI398799,OH.GRIN
PI398851,OH.SK
PI398861,OH.SK
PI398915,OH.SK
PI398971,OH.GRIN
PI398999,OH.GRIN
PI399005,OH.SK
PI399022,OH.SK
PI399042,OH.SK
PI399048,OH.GRIN
PI399052,OH.SK
PI399053,OH.GRIN
PI399065,OH.SK
PI399071,OH.GRIN
PI399086,OH.SK
PI399096,OH.SK
PI399113,OH.SK
PI399122,OH.SK
PI404166,OH.GRIN
PI407773A,OH.SK
PI407779,OH.SK
PI407789,OH.SK
PI407813,OH.SK
PI407819,OH.SK
PI407836,OH.SK
PI407839-1,OH.SK
PI407841,OH.SK
PI407844,OH.SK
PI407857,OH.GRIN
PI407861C,OH.GRIN
PI407865,OH.SK
PI407922,OH.SK
PI407949,OH.SK
PI407968,OH.GRIN
PI407972C,OH.SK
PI407976B,OH.SK
PI407987,OH.SK
PI407988A,OH.SK
PI407994,OH.SK
PI407996,OH.SK
PI408000,OH.SK
PI408027,OH.GRIN
PI408090,OH.SK
PI408131A,OH.SK
PI408134B,OH.GRIN
PI408159,OH.GRIN
PI408186A,OH.SK
PI408198,OH.SK
PI408208,OH.GRIN
PI408221B,OH.SK
PI408293-2,OH.SK
PI416838,OH.SK
PI416839,OH.GRIN
PI416934,OH.GRIN
PI416954,OH.GRIN
PI416960,OH.GRIN
PI417019,OH.SK
PI417221,OH.GRIN
PI417229,OH.SK
PI417400,OH.GRIN
PI423728B,OH.SK
PI423743B,OH.GRIN
PI423779,OH.SK
PI423783,OH.SK
PI423789,OH.SK
PI423808B,OH.SK
PI423820,OH.SK
PI423825,OH.SK
PI423826A,OH.SK
PI423826B,OH.SK
PI423856,OH.GRIN
PI424143,OH.SK
PI424144,OH.SK
PI424147,OH.GRIN
PI424156A,OH.SK
PI424159A,OH.SK
PI424164A,OH.SK
PI424169B,OH.GRIN
PI424220B,OH.SK
PI424224,OH.SK
PI424240,OH.GRIN
PI424266,OH.SK
PI424308,OH.SK
PI424321,OH.SK
PI424334,OH.SK
PI424335A,OH.SK
PI424339,OH.SK
PI424342A,OH.SK
PI424353,OH.SK
PI424363,OH.GRIN
PI424375,OH.GRIN
PI424416,OH.SK
PI424446,OH.SK
PI424451,OH.GRIN
PI424454,OH.GRIN
PI424460,OH.SK
PI424520,OH.SK
PI424535A,OH.SK
PI424543,OH.SK
PI424549A,OH.SK
PI424555B,OH.SK
PI424562,OH.SK
PI424596,OH.GRIN
PI437366,OH.GRIN
PI437564,OH.GRIN
PI437662,OH.GRIN
PI437690,OH.GRIN
PI437800,OH.GRIN
PI437864B,OH.GRIN
PI437916,OH.GRIN
PI438031,OH.GRIN
PI438033,OH.GRIN
PI438199,OH.GRIN
PI438223,OH.GRIN
PI438240,OH.GRIN
PI438304A,OH.GRIN
PI438304B,OH.SK
PI438411,OH.GRIN
PI438456,OH.GRIN
PI438496A,OH.GRIN
PI438496B,OH.GRIN
PI438496C,OH.GRIN
PI442017,OH.SK
PI458027,OH.GRIN
PI458046,OH.GRIN
PI458096,OH.SK
PI458106,OH.SK
PI458110,OH.SK
PI458174,OH.GRIN
PI458184,OH.SK
PI458217,OH.SK
PI458219,OH.GRIN
PI458235,OH.SK
PI458236B,OH.GRIN
PI458244B,OH.SK
PI458264,OH.GRIN
PI458269,OH.SK
PI458271,OH.SK
PI458293,OH.SK
PI458519A,OH.GRIN
PI458531,OH.GRIN
PI468915,OH.GRIN
PI475818,OH.GRIN
PI476914,OH.US
PI481690,OH.GRIN
PI494182,OH.GRIN
PI504488,OH.GRIN
PI504490,OH.GRIN
PI506420,OH.US
PI506476,OH.US
PI506550A,OH.GRIN
PI506634,OH.GRIN
PI506868,OH.GRIN
PI507132A,OH.GRIN
PI507238,OH.GRIN
PI507244,OH.GRIN
PI507325,OH.GRIN
PI507354,OH.GRIN
PI507702,OH.GRIN
PI509076,OH.SK
PI509080,OH.SK
PI509081,OH.GRIN
PI509096,OH.GRIN
PI509109,OH.SK
PI510670,OH.US
PI518291A,OH.GRIN
PI518670,OH.US
PI518671,OH.US
PI518675,OH.US
PI538401B,OH.US
PI542043,OH.US
PI542710,OH.US
PI543856,OH.US
PI546487,OH.US
PI547408,OH.US
PI547412,OH.US
PI547413,OH.US
PI547416,OH.US
PI547423,OH.US
PI547424,OH.US
PI547429,OH.US
PI547431,OH.US
PI547438,OH.US
PI547439,OH.US
PI547445,OH.US
PI547447,OH.US
PI547451,OH.US
PI547456,OH.US
PI547463,OH.US
PI547470,OH.US
PI547478,OH.US
PI547490,OH.US
PI547496,OH.US
PI547497,OH.US
PI547498,OH.US
PI547500,OH.US
PI547501,OH.US
PI547503,OH.US
PI547512,OH.US
PI547513,OH.US
PI547515,OH.US
PI547523,OH.US
PI547534,OH.US
PI547536,OH.US
PI547537,OH.US
PI547539,OH.US
PI547541,OH.US
PI547548,OH.US
PI547552,OH.US
PI547554,OH.US
PI547558,OH.US
PI547581,OH.US
PI547584,OH.US
PI547590,OH.US
PI547591,OH.US
PI547594,OH.US
PI547596,OH.US
PI547601,OH.US
PI547602,OH.US
PI547610,OH.US
PI547612,OH.US
PI547614,OH.US
PI547616,OH.US
PI547623,OH.US
PI547624,OH.US
PI547643,OH.US
PI547645,OH.US
PI547646,OH.US
PI547650,OH.US
PI547652,OH.US
PI547653,OH.US
PI547664,OH.US
PI547665,OH.US
PI547807,OH.US
PI547815,OH.US
PI547834,OH.US
PI547836,OH.US
PI547837,OH.US
PI547839,OH.US
PI547840,OH.US
PI547849,OH.US
PI547852,OH.US
PI547857,OH.US
PI547858,OH.US
PI547860,OH.US
PI547861,OH.US
PI547863,OH.US
PI547870,OH.US
PI547871,OH.US
PI547874,OH.US
PI547877,OH.US
PI547879,OH.US
PI547880,OH.US
PI547886,OH.US
PI547888,OH.US
PI547891,OH.US
PI547893,OH.US
PI548193,OH.US
PI548199,OH.US
PI548205,OH.GRIN
PI548209,OH.US
PI548243,OH.US
PI548262,OH.US
PI548265,OH.US
PI548276,OH.US
PI548292,OH.US
PI548313,OH.GRIN
PI548334,OH.GRIN
PI548402S,OH.GRIN
PI548478,OH.GRIN
PI548509,OH.US
PI548531,OH.US
PI548538,OH.US
PI548541,OH.US
PI548542,OH.US
PI548547,OH.US
PI548566,OH.US
PI548574,OH.US
PI548591,OH.US
PI548594,OH.GRIN
PI548634,OH.US
PI548641,OH.GRIN
PI548679,OH.US
PI548684,OH.US
PI548685,OH.US
PI556780,OH.US
PI556781,OH.US
PI556816,OH.US
PI556889,OH.US
PI556931,OH.US
PI557535,OH.US
PI560207,OH.US
PI567121A,OH.GRIN
PI567128B,OH.GRIN
PI567184,OH.GRIN
PI567226,OH.GRIN
PI567234A,OH.GRIN
PI567491A,OH.GRIN
PI567517,OH.SK
PI567527,OH.US
PI567548,OH.GRIN
PI567569,OH.SK
PI567628B,OH.GRIN
PI567630A,OH.GRIN
PI567662,OH.GRIN
PI567731,OH.GRIN
PI567767B,OH.US
PI574541,OH.US
PI576146,OH.US
PI577798,OH.US
PI578306B,OH.GRIN
PI578307C,OH.GRIN
PI578318D,OH.GRIN
PI584470,OH.US
PI587588A,OH.GRIN
PI587966B,OH.GRIN
PI591487,OH.US
PI591490,OH.US
PI591491,OH.US
PI591503,OH.US
PI591519,OH.US
PI591522,OH.US
PI591523,OH.US
PI591526,OH.US
PI591527,OH.US
PI591528,OH.US
PI591530,OH.US
PI591561,OH.US
PI592903,OH.GRIN
PI593957,OH.GRIN
PI594005D,OH.SK
PI594008,OH.SK
PI594014B,OH.GRIN
PI594170B,OH.GRIN
PI594872,OH.GRIN
PI595926,OH.US
PI597387,OH.US
PI597481,OH.US
PI603173,OH.SK
PI603332,OH.GRIN
PI603412B,OH.GRIN
PI603420,OH.GRIN
PI603444C,OH.GRIN
PI603445B,OH.GRIN
PI603453,OH.SK
PI603454,OH.US
PI603489,OH.GRIN
PI603490,OH.GRIN
PI603491,OH.GRIN
PI603495B,OH.GRIN
PI603588,OH.GRIN
PI603720,OH.GRIN
PI603733,OH.GRIN
PI603915D,OH.US
PI605806A,OH.GRIN
PI605825C,OH.GRIN
PI606364,OH.GRIN
PI606408,OH.GRIN
PI607380,OH.US
PI612736,OH.US
PI614155,OH.US
PI614807,OH.US
PI615514,OH.GRIN
PI615555,OH.US
PI616498,OH.US
PI628874,OH.GRIN
PI632401,OH.US
PI632405,OH.US
PI632425,OH.US
PI632430,OH.US
PI632945B,OH.GRIN
PI633608,OH.US
PI634757,OH.US
PI634758,OH.US
PI634763,OH.US
PI634764,OH.US
PI634876,OH.US
PI634895,OH.US
PI634905,OH.US
PI634909,OH.US
PI636695,OH.US
PI639543,OH.GRIN
PI639563,OH.US
PI644024,OH.US
